Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
mxHero,mxhero.com,"mxHero specializes in AI-powered email security and management within the information technology sector. The company offers solutions for securing and managing email content, including automatic detection and protection of sensitive information, and integration of emails with cloud storage services. mxHero primarily serves sectors that require robust email security and management, such as government agencies, legal firms, and architecture and engineering companies. It is based in San Francisco, California.","B2B, B2G, SaaS",Internet Software & Services,Email,,Email security (Enterprise Tech),473,3: Deploying,0.55%,6.40%,United States,1.30,"Entrepreneurs Roundtable Accelerator, Ari Kushner, Esther Dyson, White Star Capital, Orange Fab",0.02,Incubator/Accelerator,2015-02-24,18,-10%,Alive / Active,,,
Vehant Technologies,vehant.com,"Vehant Technologies specializes in Artificial Intelligence-based physical security, surveillance, and traffic monitoring solutions within the technology sector. The company offers a range of products including under vehicle scanning systems, X-ray baggage scanners, automated license plate recognition systems, and AI-based thermal temperature screening systems. These products serve to enhance security and traffic enforcement capabilities for various sectors. It is based in Noida, India.","B2B, B2G, Manufacturer",Internet Software & Services,Monitoring & Security,,,525,3: Deploying,0.47%,5.84%,India,,,,,,347,16.053513%,Alive / Active,,,
Sentry AI,smartsentry.ai,"Sentry AI is a company specializing in AI-based security monitoring solutions within the security industry. The company offers a suite of products that provide real-time intrusion detection, deterrence, and comprehensive security system integration tailored to various customer needs. Sentry AI's solutions are designed to enhance the collaboration and effectiveness of security operations for property managers, guards, and monitoring centers. It was founded in 2017 and is based in Sunnyvale, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,,AI-powered video security monitoring (Enterprise Tech),448,3: Deploying,0.49%,12.32%,United States,,LG NOVA,,Incubator/Accelerator,2022-01-01,26,30%,Alive / Active,2017,,
Secqai,secqai.com,"Secqai focuses on quantum and artificial intelligence (AI) cyber security within the technology domain. The company offers solutions for securing computation and communication, including a system that protects against memory injection attacks and a communication standard that is secure against quantum computing. It is primarily used in the encryption, AI, and simulation sectors. It was founded in 2021 and is based in London, United Kingdom.",B2B,Internet Software & Services,Application & Data Integration,Quantum Tech,,481,3: Deploying,0.76%,2.11%,United Kingdom,0.11,NATO DIANA Accelerator,0.11,Grant,2023-11-30,7,16.666666%,Alive / Active,2021,,
Andromeda Security,andromedasecurity.com,"Andromeda Security focuses on the cloud infrastructure, security, and networking sectors. The firm aims to disrupt cloud security and governance by automating security operations using artificial intelligence and machine learning technologies. Andromeda Security was founded in 2023 and is based in Los Altos, California.","B2B, SaaS",Stealth Mode,,,,,,0.45%,1.99%,United States,,,,,,9,0%,Alive / Active,2023,,
Cyberfame,cyberfame.io,"Cyberfame is a cybersecurity company. It reduces intellectual property risks and addresses privacy concerns while leveraging AI integration in security processes. It is based in Berlin, Germany.","B2B, SaaS",Security Software,,Cybersecurity,,,,0.44%,6.68%,Germany,,,,,,11,37.5%,Alive / Active,,,
VEDA,veda.com,VEDA specializes in web security and develops the AI Dynamic Defense system.,"B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,273,3: Deploying,0.74%,10.18%,China,,"Chentian Jingwei, Integrated Circuit High-Tech Industry Fund, Jiequan Meidu, Beibian Capital, State Power Investment Corporation",,Series A - II,2021-05-11,,0%,Alive / Active,2015,,
Aurva,aurva.io,"Aurva is an AI-powered data security company specializing in real-time threat detection and data activity monitoring. The company offers solutions for data discovery and classification, compliance management, and threat remediation, aimed at protecting sensitive information from internal and external threats. Aurva primarily serves sectors that require robust data security and regulatory compliance, such as finance, healthcare, and e-commerce. It was founded in 2022 and is based in Sunnyvale, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,415,3: Deploying,0.42%,2.52%,United States,2.15,,2.15,Unattributed,2023-04-21,21,75%,Alive / Active,2022,,
Hanwha Industrial Solutions,,"Hanwha Industrial Solutions is an intermediate holding firm specializing in artificial intelligence, security solutions, and semiconductor manufacturing equipment. The company offers a range of products and services including vision processing technology, cybersecurity solutions, and precision machinery for chip production. Hanwha Industrial Solutions operates through fully-owned subsidiaries such as Hanwha Vision and Hanwha Precision Machinery, focusing on maximizing efficiency and corporate values. It was founded in 2024 and is based in Changwon-si, South Korea.","B2B, Manufacturer",Internet Software & Services,Monitoring & Security,Cybersecurity,,,,,,South Korea,,Hanwha Aerospace,,,,,0%,Alive / Active,2024,,
Cypienta,cypienta.com,"Cypient focuses on cybersecurity, specifically in the domain of artificial intelligence(AI)- driven security monitoring, detection, and response. The company includes the detection of cyber attack techniques, correlation of incidents that are part of coordinated attacks, and prediction of the next attack steps using data science breakthroughs. It primarily serves sectors such as managed service providers, enterprises, government entities, small-medium businesses, and high-performance computing. It was founded in 2021 and is based in Knoxville, Tennessee.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,,2: Validating,0.52%,6.87%,United States,0.10,"NextEra Energy, Oak Ridge National Laboratory, Techstars, Tennessee Valley Authority, University of Tennessee, 35 Mules",0.10,Grant,2023-11-19,4,33.333332%,Alive / Active,2021,,
PAGO Networks,pagonetworks.com,"PAGO Networks is a specialized Managed Detection & Response (MDR) company operating in the cybersecurity sector. The company offers AI-based security solutions, technical support, and active threat detection and response services to identify and mitigate cyber threats. PAGO Networks primarily serves sectors such as chemical, semiconductor, manufacturing, and retail industries with its cybersecurity expertise. It is based in Seoul, South Korea.","B2B, Fee-for-service, SaaS",IT Services,Data Storage & Security,Cybersecurity,,474,3: Deploying,0.81%,6.74%,South Korea,,,,,,11,-8.333333%,Alive / Active,,,
1000video,1000video.com.cn,"1000video focuses on the application of artificial intelligence (AI) technology in security and innovative city development. It serves financial services, urban governance, traffic, AI education, and training industries. It was founded in 2011 and is based in Suzhou, Jiangsu.","B2B, B2G",Facilities,,Artificial Intelligence,,,,0.87%,20.01%,China,,"BITMAIN, Mininglamp Technology, PCI-Suntek",,Series A,2018-09-06,,0%,Alive / Active,2011,,
Zircuit,zircuit.com,"Zircuit specializes in scaling solutions with a focus on security. The company offers a knowledge rollup that integrates AI-enabled security measures to protect transactions and reduce fees while ensuring faster processing. Zircuit's services cater to the blockchain and cryptocurrency sectors, particularly those utilizing Ethereum's infrastructure. It was founded in 2021 and is based in Waterloo, Canada.","B2B, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,Artificial Intelligence,,550,2: Validating,,,Canada,,"Maelstrom Fund, Serafund, Dragonfly, Pantera Capital, Binance Labs, Amber Group, Arcanum Capital, Borderless Capital, Mirana Ventures, Nomad Capital, Robot Ventures, Selini Capital",,Seed VC - II,2024-07-22,23,0%,Alive / Active,2021,,
Huaun,huaun.com,"Huaun focuses on attack surface management within the cybersecurity sector, building a complete loop system from detection to analysis and response. The company offers a cloud-native security platform that integrates a knowledge graph-based security risk database and a scenario-based artificial intelligence engine to flexibly combine security capabilities tailored to various business needs. This platform provides comprehensive security validation capabilities including intelligent penetration, attack simulation, and tactical deduction. It was founded in 2019 and is based in Beijing, Beijing.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,467,,0.48%,9.92%,China,15.66,"DCM Ventures, Cowin Capital, Guojun Yuanhong, Weicun Zhike, Lingfeng Capital, Weizhi Mathematics, YI Capital",,Series B,2022-12-29,,0%,Alive / Active,2019,,
DOGU,dogu.xyz,"DOGU specializes in security innovation through autonomous technology in the robotics and artificial intelligence sectors. The company offers services that include autonomous security robots (ASR) for patrolling, disinfection, and guidance, integrating self-developed autonomous driving robots with security AI technology. It primarily serves the robotics industry. The company was founded in 2017 and is based in Seoul, South Korea.","B2B, B2G, Fee-for-service, Manufacturer",Machinery & Equipment,Robotics,"AR/VR, Robotics, Smart Cities, Artificial Intelligence",,487,,0.66%,1.91%,South Korea,0.10,"TIPS Program, FuturePlay, KDB Capital, Shinhan Capital, HUMAX, IBK Changgong, Samick Matz Ventures, CJ Globenters, MassRobotics International Immersion Program",,Incubator/Accelerator - III,2024-10-11,48,0%,Alive / Active,2017,,
Warden,usewarden.com,"Warden focuses on application security within the software development sector. The company offers AI-powered security solutions designed to integrate seamlessly into development pipelines, providing automated security checks and analytics. Warden primarily serves the software development and DevSecOps industries with its security tools. It was founded in 2017 and is based in London, United Kingdom.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,137,,0.44%,6.65%,United Kingdom,,Bethnal Green Ventures,,Seed VC,2018-01-01,2,0%,Alive / Active,2017,,
Guardforce AI,guardforceai.com,Guardforce AI is a global security solutions provider specializing in the integration of AI and robotics into the security industry. The company offers robotic solutions and information security services that enhance operational efficiency and safety for various organizations. Guardforce AI primarily serves sectors that require secured logistics and asset protection. It was founded in 1982 and is based in Singapore.,"B2B, B2G, Fee-for-service, Manufacturer",Machinery & Equipment,Robotics,,,,,,,Singapore,,"Zhuoran Tiancheng, Tianfeng Innovative Investment",,Series B,2021-08-31,,0%,IPO / Went public,1982,,
Cyber Smart Consulting,cybersmartconsulting.com,"Cyber Smart Consulting specializes in the fields of cyber security and artificial intelligence consulting. The company offers a range of services, including cyber security consultancy, AI advisory services, and managed security services, all aimed at improving business performance and ensuring regulatory compliance. It primarily serves sectors such as the public sector, financial services, and technology industries. It was founded in 2012 and is based in London, United Kingdom.","B2B, B2G, Fee-for-service",Consulting & Outsourcing,Business Performance Management,,,,,0.61%,7.63%,United Kingdom,,,,,,0,0%,Alive / Active,2012,,
DTonomy,dtonomy.com,"DTonomy specializes in AI-powered security automation within the cybersecurity industry. The company offers a suite of tools designed to enhance security operations through streamlined reporting, insightful analysis, and rapid response capabilities. DTonomy primarily serves sectors that require advanced security operations, such as managed service providers (MSPs) and managed security service providers (MSSPs). It was founded in 2018 and is based in Cambridge, Massachusetts.","B2B, SaaS",Internet Software & Services,Monitoring & Security,,,258,3: Deploying,0.45%,1.82%,United States,,MassChallenge,,Incubator/Accelerator,2021-09-26,5,-28.571428%,Alive / Active,2018,,
Orchestra,orchestragroup.com,"Orchestra is a company that focuses on cyber risk reduction and resilience, operating in the cybersecurity industry. The company offers a platform that combines asset and network discovery, vulnerability and security policy scanning, and AI reasoning-based attack path simulation to help organizations measure, track, and reduce the risk and impact of cyber-attacks. Orchestra primarily serves sectors such as financial services, manufacturing, smart retail, healthcare, and travel & hospitality. It was founded in 2018 and is based in Tel Aviv, Israel.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,304,3: Deploying,0.53%,31.67%,Israel,7.50,Prytek,7.50,Series A,2020-04-20,41,-10.869565%,Alive / Active,2018,,
Aosu,aosulife.com,"Aosu specializes in AI technology-based smart home security products within the home automation industry. The company offers a range of products including smart video doorbells and wireless security cameras that provide enhanced home security and surveillance capabilities. These products are designed for both indoor and outdoor use, featuring capabilities such as 2K QHD resolution, human detection, and 24/7 recording. Aosu was formerly known as Glazero. It was founded in 2020 and is based in Beijing, Beijing.","B2C, Manufacturer",Security Products,Security & Monitoring Equipment,"Smart Cities, Smart Home & Consumer Electronics",,429,,0.99%,6.72%,China,7.86,"Lingbo Capital, Seas Capital, Congbi Qiushi, Capital Nuts",,Series A,2023-06-06,,0%,Alive / Active,2020,,
Spatial,spatial-h2020.eu,"Spatial is a consortium focused on enhancing cybersecurity through the development of trustworthy artificial intelligence (AI). The company specializes in creating verification and validation mechanisms for AI transparency and explainability, as well as resilience and privacy in AI-driven security solutions. Spatial primarily serves the cybersecurity industry, offering tools and guidelines for AI governance and regulatory compliance. It was founded in 2021 and is based in Barcelona, Spain.",B2B,Internet Software & Services,Monitoring & Security,,,,2: Validating,0.44%,5.29%,Spain,,,,,,4,-20%,Alive / Active,2021,,
TUNG-I Information Services,tiis.com.tw,"TUNG-I Information Services is a Taiwan-based fintech company that provides solutions powered by artificial intelligence in information security, private cloud implementation, smart retail, and finance.","B2B, SaaS",,,,,,,0.47%,12.45%,Taiwan,,,,,,13,8.333333%,Alive / Active,,,
Datakrew,datakrew.com,"Datakrew specializes in the Internet of Things (IoT), Artificial Intelligence (AI), and Data Security. The company provides solutions for large-scale secure IoT applications, focusing on monitoring, automation, diagnostics, and security. Its offerings include predictive maintenance, asset health monitoring, battery monitoring, and smart building solutions. Datakrew primarily serves sectors such as the electric vehicle industry, manufacturing, and agriculture. It was founded in 2019 and is based in Singapore, Singapore.","B2B, SaaS",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",,,214,,0.52%,5.64%,Singapore,,"ICE71 Accelerate, BEENEXT",,Seed VC,2021-01-01,24,-25%,Alive / Active,2019,,
huntr,huntr.dev,"huntr provides a platform to help security researchers discover, disclose, remediate, and be rewarded for AI and ML security threats. It offers security and stability for AI/ML applications, including those powered by open-source software (OSS). It was founded in 2019 and is based in Seattle, Washington. In August 2023, huntr was acquired by Protect AI. The terms of the transaction were not disclosed.",,Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,,,,,United States,,Protect AI,,,,14,-22.222221%,Acquired,2019,,
ImageDeep Systems,imagedeep.com,"ImageDeep Systems specializes in AI-driven security technology within the global security sector. The company offers dynamic AI solutions that enhance security, reduce disruptions, and improve operational outcomes while managing costs. ImageDeep Systems primarily serves sectors that require advanced surveillance and security management, such as construction, warehousing, and public safety. It was founded in 2016 and is based in Hong Kong, Hong Kong.","B2B, Fee-for-service, SaaS",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",,,,,0.50%,22.19%,Hong Kong,,,,,,1,0%,Alive / Active,2016,,
The Security Oracle,thesecurityoracle.com,"The Security Oracle specializes in artificial intelligence-driven security solutions within the security and defense sector. The company offers a range of products including autonomous robots and systems designed to detect and neutralize threats using non-lethal means, catering to the protection of critical infrastructure. The Security Oracle's clientele primarily consists of entities requiring advanced security measures, such as energy grids, maritime and retail environments, and public safety organizations. It was founded in 2014 and is based in Clermont, Florida.","B2B, B2G, Manufacturer",Internet Software & Services,,,,409,,0.41%,10.97%,United States,,,,,,1,0%,Alive / Active,2014,,
Picolo Labs,picolo.network,"Picolo Labs specializes in generative artificial intelligence (AI) technologies for software security within the technology industry. It offers a system that automatically detects, reasons, and resolves software vulnerabilities, focusing on mission-critical code. The company's services cater to the needs of software development and cybersecurity sectors. It was founded in 2018 and is based in Mountain View, California.",B2B,Internet Software & Services,Monitoring & Security,,,178,,0.72%,17.10%,United States,2.01,National Science Foundation,0.26,Grant,2021-02-15,11,83.333336%,Alive / Active,2018,,
Cienaga Systems,cienagasystems.net,"Cienaga Systems specializes in autonomous cybersecurity solutions within the technology sector. The company provides AI-based network security services that are easy to install and manage, catering to organizations of various sizes. Cienaga Systems primarily serves sectors that require enterprise threat hunting and unified threat management. It was founded in 2013 and is based in Florida, United States.","B2B, Fee-for-service, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,,3: Deploying,0.44%,5.80%,United States,0.30,,0.30,Seed,2015-09-15,6,20%,Alive / Active,2013,,
Tillion,tillion.ai,"Tillion is a company that focuses on artificial intelligence, specifically in the data protection sector. The company offers services that guard and protect data, utilizing artificial intelligence to enhance security measures. It primarily caters to sectors such as legal, compliance, engineering, product, and security. It was founded in 2023 and is based in Palo Alto, California.","B2B, SaaS",Internet Software & Services,Data & Document Management,,,531,1: Emerging,0.44%,3.81%,United States,,,,,,9,50%,Alive / Active,2023,,
Crea.vision,crea.vision,"Crea.vision develops a computer vision platform featuring passive detailed recognition and localization data. It utilizes artificial intelligence (AI) to provide security cameras with accurate scene understanding. The company was founded in 2015 and is based in London, United Kingdom.",B2B,Internet Software & Services,Monitoring & Security,"Smart Cities, Artificial Intelligence",,202,,,,United Kingdom,0.12,Arcadis City of 2030 Accelerator,0.12,Seed,2020-03-02,0,0%,Alive / Active,2015,,
Lumix.AI,lumix.ai,"Lumix.AI is a company that focuses on providing modern artificial intelligence (AI) video security solutions in the technology sector. The company offers a range of products including an AI engine and video processor, smart video management software, and NDAA-compliant security cameras, all designed to enhance security, safety, and operations. Lumix.AI primarily serves sectors such as education, government, retail, manufacturing, and hospitality. It was founded in 2021 and is based in Palo Alto, California.","B2B, B2G, Manufacturer, SaaS",Stealth Mode,,,,,2: Validating,0.74%,6.05%,United States,,,,,,,0%,Alive / Active,2021,,
Xtract One Technologies,xtractone.com,"Xtract One Technologies specializes in AI-powered security technology and threat detection solutions within the safety and security industry. The company offers products such as SafeGateway and SmartGateway, which are designed to detect concealed weapons and other threats at entry points. Its cloud-based platform allows for centralized management of these security systems across multiple locations. It was formerly known as Patriot One Technologies. It was founded in 2016 and is based in Toronto, Canada.","B2B, B2G, Manufacturer, SaaS",Internet Software & Services,Monitoring & Security,,,,,,,Canada,,Madison Square Garden Sports,,,,,0%,IPO / Went public,2016,,
Edera,edera.dev,"Edera provides security solutions. The company offers protection for Kubernetes workloads, ensuring container security, and simplifies the security of AI and machine learning workloads through GPU device virtualization and driver isolation. Its open-source project represents its commitment to advancing isolation technology in the security domain. It was founded in 2024 and is based in Seattle, Washington.",B2B,Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,605,1: Emerging,0.43%,10.12%,United States,5.00,"645 Ventures, Eniac Ventures, FPV Ventures, Filippo Valsorda, Generationship, Jeff Behl, Joe Beda, Kleiner Perkins Scout Fund, Mandy Andress, Nikitha Suryadevara, Precursor Ventures, Rosecliff Ventures",5.00,Seed VC,2024-09-03,5,0%,Alive / Active,2024,,
Tune AI,tunehq.ai,"Tune AI specializes in enterprise generative artificial intelligence (AI) solutions within the artificial intelligence industry. The company offers a platform for automating manual tasks using AI-powered assistants and enables the deployment of customizable AI models on secure cloud infrastructures. It primarily caters to knowledge workers and enterprises seeking advanced AI tools and data security. It was formerly known as NimbleBox. It was founded in 2018 and is based in San Francisco, California.","B2B, SaaS, Usage-based",Internet Software & Services,Application & Data Integration,Artificial Intelligence,General enterprise AI agents & copilots (Enterprise Tech),410,3: Deploying,0.46%,7.31%,United States,2.04,"Techstars Montreal AI Accelerator, Astarc Ventures, Chennai Angels, Nanavati Family Office, Venture Catalysts, Flipkart Leap Ahead, Accel Atoms",0.25,Seed - III,2024-03-27,0,0%,Alive / Active,2018,,
SporeX.AI,sporex.ai,"SporeX.AI focuses on cybersecurity through artificial intelligence within the cybersecurity industry. It offers an AI-powered security insights platform. It provides threat analysis, actionable insights, and integration with frameworks. SporeX.AI primarily serves organizations looking to strengthen their cybersecurity defenses and streamline threat detection and analysis. It was founded in 2023 and is based in Singapore.","B2B, SaaS",Internet Software & Services,Monitoring & Security,,,,1: Emerging,0.48%,6.17%,Singapore,,,,,,,0%,Alive / Active,2023,,
COM-IoT Technologies,com-iot.com,"COM-IoT Technologies is an Artificial Intelligence company focusing on security, traffic safety, and smart city solutions. The company offers multi-use AI solutions that enhance urban infrastructure and livability, including technologies like LiDARs, mapping systems, and RGB cameras, tailored for government and enterprise partners. It was founded in 2016 and is based in Dubai, United Arab Emirates.","B2B, B2G",Mobile Software & Services,Application & Data Integration,Smart Cities,,199,,0.99%,8.19%,United Arab Emirates,,"Dubai Future Accelerators, Etisalat by e&",,Incubator/Accelerator - II,2019-01-08,15,7.142857%,Alive / Active,2016,,
Da Planet Security,daplanetsecurity.com,"Da Planet Security provides information security services within the technology sector. The company offers cloud security solutions, full stack security services, and AI-driven security analytics to protect virtual, mobile, private, and public cloud networks. Da Planet Security serves sectors that require cloud security measures and threat prevention. It was founded in 2015 and is based in Wilmington, Delaware.","B2B, Fee-for-service",Internet Software & Services,Monitoring & Security,,,,,0.50%,40.33%,United States,,,,,,1,0%,Alive / Active,2015,,
Zove Security - AI Technology Business,zove.io/trustai,"Zove Security - AI Technology Business is a business unit of Zove Security. The company offers ZoveTrustAI, an artificial intelligence platform that manages cyber risk by merging generative models with personalized threat intelligence to deliver actionable insights for protecting targets. It is based in Seattle, Washington. In June 2024, Zove Security - AI Technology Business was acquired by an undisclosed Acquirer.",,Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,,,,,United States,,,,,,,0%,Acquired,,,
Intellio,intellio.eu,"Intellio specializes in video analytics and surveillance systems within the security industry. The company offers smart CCTV cameras, video management software (VMS), and video server devices designed to build reliable and scalable closed-circuit television (CCTV) systems. These products are equipped with artificial intelligence features to enhance security tasks. Intellio was formerly known as VideoCast. It is based in Budapest, Hungary.","B2B, Manufacturer, SaaS",Personal Computers & Notebooks,,,,274,,0.43%,4.80%,Hungary,3.23,Solus Capital,0.48,Series B,2009-01-01,5,-16.666666%,Alive / Active,,,
Clearly AI,clearly-ai.com,"Clearly AI specializes in AI-driven security and privacy solutions within the technology sector. The company offers tools for automating security reviews, privacy assessments, and vendor risk assessments, as well as policy enforcement and compliance tracking for software products. Clearly AI primarily serves the technology sector. It was founded in 2024 and is based in Seattle, Washington.","B2B, SaaS",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",,,,,0.48%,13.63%,United States,,Y Combinator,,,,2,0%,Alive / Active,2024,,
Oncleve,onclev.com,"Oncleve provides data network analyzing solutions. The company offers Artificial Intelligence (AI), the security of blockchain, and the productivity of big data with applications such as network data analysis and object tracking. It serves the IT consulting industry. It was founded in 2021 and is based in Mapo-gu, South Korea.","B2B, SaaS",Internet Software & Services,Application & Data Integration,Artificial Intelligence,,350,2: Validating,0.45%,2.24%,South Korea,0.10,"Kibo Venture Camp, B.Startup, Busan Creative Economy Innovation Center, Krypton, TIPS Program",,Seed,2023-12-07,,0%,Alive / Active,2021,,
Robotic Assistance Devices,radsecurity.com,"Robotic Assistance Devices specializes in AI-driven security solutions within the security and surveillance industry. The company offers a range of autonomous security robots and software that provide surveillance, monitoring, and safety services using advanced artificial intelligence analytics. Its products are designed to provide security and safety for various facilities. The company was founded in 2016 and is based in Ferndale, Michigan. In July 2024, Robotic Assistance Devices was acquired by ZeroNow.","B2B, B2G, Manufacturer, SaaS",Security Products,Security & Monitoring Equipment,,,,,,,United States,,ZeroNow,,,,72,9.090909%,Acquired,2016,,
Runecast,runecast.com,"Runecast specializes in Artificial Intelligence (AI)-powered risk mitigation, security, and continuous compliance within the Information Technology (IT) operations management sector. The company offers a cloud-native application protection platform that provides proactive vulnerability management, configuration drift management, and security and compliance assessments for on-premises VMware, operating systems, cloud services, and containers. Runecast primarily serves sectors such as financial services, government and defense, healthcare, and  Information Technology (IT) service providers. It was founded in 2014 and is based in London, United Kingdom. In January 2024, Runecast was acquired by Dynatrace.",,Internet Software & Services,Monitoring & Security,Cybersecurity,"Cloud security posture management (CSPM) (Enterprise Tech), Cloud-native application protection platforms (CNAPP) (Enterprise Tech), Cloud workload protection platforms (CWPP) (Enterprise Tech)",,,,,United Kingdom,3.84,"OPIFER, Credo Ventures, Limerock Fund Manager, Horizon 2020, Dynatrace",2.13,Grant,2019-09-04,26,-61.764706%,Acquired,2014,,
Prophet Security,prophetsecurity.ai,"Prophet Security specializes in artificial intelligence solutions for security operations within the cybersecurity industry. The company offers AI-based automated alert triage and investigation services to improve the security operations centers (SOCs). Prophet Security was founded in 2024 and is based in Atherton, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,,1: Emerging,0.59%,20.45%,United States,,,,,,,0%,Alive / Active,2024,,
Luchismart,luchismart.com,"Luchismart is a cloud-based access control and time tracking company that specializes in AI-enabled security solutions for various sectors. Their main offerings include systems that manage access to facilities and track employee attendance using advanced technologies such as artificial intelligence for enhanced security and efficiency. Luchismart's products are designed to cater to the needs of enterprises, commercial real estate, residential communities, educational institutions, healthcare facilities, government entities, and the hospitality industry. It was founded in 2022 and is based in Rye, New York.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,,3: Deploying,0.48%,32.25%,United States,,,,,,4,-20%,Alive / Active,2022,,
Biocome,biocome.com,"Biocome offers biometrics, smart security, artificial intelligence, internet of things (IoT), big data, and cloud computing services. It is based in Shenzhen, Guangdong.","B2B, SaaS, Usage-based",IT Services,Data Storage & Security,Cybersecurity,,,,0.70%,9.42%,China,,,,,,,0%,Alive / Active,,,
Teracloud,teracloud.io,"Teracloud specializes in cloud computing managed services and AI integration within the technology sector. The company offers a suite of services including generative AI, cloud security, migration, DevOps, and data analytics, all designed to align with the AWS Well-Architected Framework. Teracloud primarily caters to industries requiring cloud infrastructure modernization and AI-driven solutions. It was founded in 2016 and is based in New York, New York.","B2B, Fee-for-service",IT Services,IT Solutions & Software Development,,,,4: Scaling,0.47%,8.92%,United States,,,,,,45,32.35294%,Alive / Active,2016,,
Tonomus,tonomus.neom.com,"Tonomus is a company focused on cognitive technology in the tech and digital sector. The company's main services include the development and commercialization of next-gen digital cognitive platforms, applications, and solutions, delivery of cloud services and hyperscale data centers, operation of advanced network infrastructure, provision of cognitive strategies, creation of AI-powered security platforms, and building a portfolio of ventures and talent capabilities. Tonomus primarily sells to sectors that are interested in cognitive technology solutions, such as the tech and digital sector. It was founded in 2021 and is based in Tabuk, Saudi Arabia.","B2B, SaaS",Internet Software & Services,,,,,3: Deploying,0.41%,3.26%,Saudi Arabia,,,,,,,0%,Alive / Active,2021,,
Naoris,naoris.com,"Naoris specializes in advanced cybersecurity solutions, operating within the blockchain technology domain. The company offers a decentralized cybersecurity mesh known as DePIN, leveraging post-quantum blockchain technology and decentralized swarm AI to enhance digital trust and security across Web2 and Web3 networks. Naoris' solutions are designed to provide real-time device validation and proof of trust, ensuring a secure and resilient digital infrastructure for various industries. It was founded in 2017 and is based in London, England.","B2B, SaaS, Usage-based",Security Products,Security Systems,Blockchain,,371,,0.59%,1.58%,United Kingdom,11.53,"Start-Up Chile, Holt Fintech Accelerator, Expert Dojo, Draper Associates, Holt Xchange",11.50,Seed VC,2022-07-27,,0%,Alive / Active,2017,,
Netwatch,netwatchusa.com,"Netwatch specializes in proactive video monitoring and AI-driven security solutions within the security services industry. The company offers real-time surveillance, incident intervention, and detailed reporting to prevent and address security threats. Netwatch primarily serves sectors such as utilities, construction, retail, and property management. It was founded in 2003 and is based in Lake Forest, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,481,4: Scaling,0.47%,9.92%,United States,,,,,,34,6.25%,Alive / Active,2003,,
SplxAI,splx.ai,"SplxAI specializes in the security of generative AI, focusing on the provision of threats within the cybersecurity domain. The company offers a solution called Probe, which automates and continuously scans for vulnerabilities in conversational AI applications, ensuring they meet regulatory compliance and security standards. SplxAI primarily serves sectors that utilize customer experience platforms, sales platforms, conversational AI, finance and banking, insurance, and CPaaS providers. It was founded in 2023 and is based in New York, New York.","B2B, Fee-for-service, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,588,1: Emerging,0.45%,21.05%,United States,2.00,"David Politis, Elad Schulman, Inovo, Runtime Ventures, South Central Ventures",2.00,Pre-Seed,2024-09-10,9,0%,Alive / Active,2023,,
Network Optix,networkoptix.com,"Network Optix specializes in enterprise video management and analytics across various industries. The company offers a platform that provides real-time insights and security monitoring through AI-driven video analytics. Network Optix caters to sectors such as security, transportation, healthcare, retail, and education with its suite of video management products. It was founded in 2012 and is based in Burbank, California.","B2B, SaaS",Internet Software & Services,Video,,,654,4: Scaling,0.43%,5.82%,United States,1.43,"HauteSpot Networks, Jor Law, Kenneth Lu, VenTek Ventures, Veracity, Paycheck Protection Program",0.68,Loan,2020-04-11,174,16%,Alive / Active,2012,,
Pires Investments,piresinvestments.com,"Pires investments (AIM: PIRI) in companies that have the potential for major transformation and exponential growth. The company is focused on artificial intelligence, machine learning, cyber security, the Internet of Things, and augmented/virtual reality. The company was founded in 1994 and is based in London, England.",,Asset/Financial Management,,,,,,,,United Kingdom,,Tern,,,,,0%,Acquired,1994,,
